#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  11100      8.12e-01    9.37e-01      4.83e-02    1.27e-01      2.05e-01    2.63e-01      1.23e-01    1.23e-01    3.4e-06
  11200      1.05e+00    5.19e-01      3.59e-03    6.62e-02      3.59e-01    1.30e-01      1.08e-01    1.34e-01    3.2e-06
  11300      1.33e+00    7.90e-01      1.55e-01    3.22e-02      2.76e-01    2.58e-01      1.93e-01    1.29e-01    3.1e-06
  11400      8.57e-01    7.76e-01      2.98e-02    4.50e-03      3.40e-01    1.54e-01      1.01e-01    1.26e-01    2.9e-06
  11500      9.40e-01    1.03e+00      4.15e-02    5.32e-02      2.89e-01    3.14e-01      1.61e-01    1.84e-01    2.8e-06
  11600      8.63e-01    7.54e-01      9.28e-02    2.16e-03      1.92e-01    1.78e-01      1.20e-01    1.18e-01    2.6e-06
  11700      8.44e-01    1.15e+00      6.53e-02    3.81e-02      1.78e-01    3.39e-01      1.29e-01    2.19e-01    2.5e-06
  11800      7.32e-01    5.05e-01      6.78e-02    4.58e-02      2.04e-01    1.75e-01      1.48e-01    1.13e-01    2.4e-06
  11900      1.03e+00    4.23e-01      6.78e-02    7.02e-02      2.96e-01    1.21e-01      1.94e-01    9.72e-02    2.3e-06
  12000      8.19e-01    1.08e+00      1.05e-01    3.58e-02      2.53e-01    3.17e-01      1.08e-01    2.13e-01    2.1e-06
  12100      8.66e-01    4.78e-01      4.41e-02    3.06e-02      3.24e-01    1.76e-01      1.33e-01    1.09e-01    2.0e-06
  12200      8.83e-01    1.16e+00      7.65e-02    3.59e-01      2.68e-01    7.71e-02      1.52e-01    1.87e-01    1.9e-06
  12300      7.68e-01    9.12e-01      4.49e-02    4.69e-02      2.48e-01    3.02e-01      1.47e-01    1.66e-01    1.8e-06
  12400      8.56e-01    1.04e+00      1.59e-01    6.38e-03      2.20e-01    1.92e-01      1.17e-01    1.76e-01    1.8e-06
  12500      5.97e-01    5.15e-01      8.95e-02    2.07e-02      1.62e-01    1.81e-01      1.00e-01    1.33e-01    1.7e-06
  12600      9.54e-01    8.49e-01      8.16e-02    1.88e-02      3.07e-01    3.91e-01      1.56e-01    1.02e-01    1.6e-06
  12700      9.07e-01    1.02e+00      1.36e-01    6.45e-03      2.77e-01    4.66e-01      1.19e-01    9.69e-02    1.5e-06
  12800      7.92e-01    1.08e+00      2.22e-02    3.27e-01      1.78e-01    7.56e-02      1.47e-01    1.91e-01    1.4e-06
  12900      6.13e-01    3.47e-01      2.85e-02    3.68e-02      1.76e-01    1.05e-01      1.39e-01    9.49e-02    1.4e-06
  13000      1.06e+00    8.62e-01      6.61e-02    6.66e-03      3.58e-01    1.56e-01      1.56e-01    1.48e-01    1.3e-06
  13100      6.87e-01    7.26e-01      1.15e-01    4.44e-02      1.87e-01    2.84e-01      1.01e-01    1.21e-01    1.2e-06
  13200      1.22e+00    7.36e-01      2.78e-01    1.09e-01      3.41e-01    2.42e-01      1.69e-01    1.01e-01    1.2e-06
  13300      6.62e-01    1.00e+00      7.86e-02    6.69e-02      1.54e-01    3.09e-01      1.08e-01    1.99e-01    1.1e-06
  13400      1.29e+00    1.05e+00      2.86e-01    3.46e-02      3.67e-01    3.02e-01      1.76e-01    2.24e-01    1.1e-06
  13500      6.88e-01    2.85e+00      1.65e-02    8.54e-01      1.38e-01    6.64e-01      1.39e-01    3.44e-01    1.0e-06
  13600      7.01e-01    3.95e-01      4.78e-02    2.62e-02      1.82e-01    1.87e-01      1.12e-01    7.66e-02    9.5e-07
  13700      5.83e-01    9.05e-01      5.06e-02    5.96e-03      2.19e-01    1.60e-01      1.12e-01    1.57e-01    9.1e-07
  13800      6.41e-01    1.15e+00      4.38e-02    3.57e-01      1.76e-01    7.49e-02      1.09e-01    1.86e-01    8.6e-07
  13900      6.77e-01    1.13e+00      8.08e-02    3.48e-01      2.31e-01    7.26e-02      1.17e-01    1.93e-01    8.2e-07
  14000      9.80e-01    9.87e-01      6.96e-02    7.11e-03      1.63e-01    1.76e-01      1.71e-01    1.72e-01    7.8e-07
  14100      8.67e-01    9.35e-01      2.46e-02    7.70e-03      2.76e-01    4.66e-01      1.48e-01    9.60e-02    7.4e-07
  14200      4.71e-01    7.40e-01      3.79e-02    5.45e-03      1.70e-01    1.69e-01      1.15e-01    1.25e-01    7.0e-07
  14300      9.04e-01    7.74e-01      4.79e-02    3.94e-02      2.24e-01    3.95e-01      1.50e-01    9.93e-02    6.7e-07
  14400      7.52e-01    7.69e-01      7.64e-02    1.19e-01      2.29e-01    2.40e-01      1.46e-01    1.15e-01    6.3e-07
  14500      8.00e-01    1.03e+00      2.66e-02    5.00e-02      1.98e-01    3.38e-01      1.49e-01    2.12e-01    6.0e-07
  14600      6.18e-01    4.36e-01      4.57e-02    3.87e-02      1.61e-01    1.83e-01      1.01e-01    1.07e-01    5.7e-07
  14700      6.33e-01    8.76e-01      1.85e-02    4.21e-03      1.92e-01    1.77e-01      1.13e-01    1.51e-01    5.5e-07
  14800      1.26e+00    9.07e-01      2.43e-01    7.90e-03      3.33e-01    4.66e-01      2.09e-01    9.54e-02    5.2e-07
  14900      5.73e-01    8.11e-01      4.48e-02    3.63e-03      1.87e-01    1.69e-01      8.73e-02    1.40e-01    4.9e-07
  15000      9.43e-01    5.72e-01      4.75e-02    5.08e-03      1.87e-01    1.60e-01      1.69e-01    9.36e-02    4.7e-07
  15100      6.24e-01    7.80e-01      1.61e-02    1.31e-01      1.77e-01    2.23e-01      1.15e-01    1.15e-01    4.4e-07
  15200      8.87e-01    8.40e-01      1.12e-02    4.22e-03      3.14e-01    1.83e-01      1.40e-01    1.44e-01    4.2e-07
  15300      7.84e-01    3.05e-01      4.50e-02    3.53e-02      2.10e-01    8.96e-02      1.32e-01    8.92e-02    4.0e-07
  15400      7.66e-01    8.71e-01      4.76e-02    2.74e-03      2.40e-01    1.72e-01      1.32e-01    1.51e-01    3.8e-07
  15500      8.93e-01    9.99e-01      2.31e-01    5.69e-03      1.47e-01    1.71e-01      1.32e-01    1.76e-01    3.6e-07
  15600      6.57e-01    1.08e+00      3.26e-02    3.45e-01      2.27e-01    6.49e-02      1.16e-01    1.60e-01    3.5e-07
  15700      9.40e-01    7.39e-01      1.38e-01    5.53e-02      2.53e-01    2.67e-01      1.69e-01    1.44e-01    3.3e-07
  15800      8.75e-01    1.12e+00      2.31e-02    3.44e-01      2.45e-01    8.47e-02      1.49e-01    1.88e-01    3.1e-07
  15900      7.35e-01    6.77e-01      1.60e-01    5.22e-03      1.35e-01    1.94e-01      1.25e-01    1.11e-01    3.0e-07
  16000      1.41e+00    7.71e-01      3.18e-01    2.21e-03      3.27e-01    1.68e-01      2.24e-01    1.33e-01    2.8e-07
  16100      7.29e-01    1.11e+00      2.31e-02    3.40e-01      1.99e-01    7.80e-02      1.38e-01    1.90e-01    2.7e-07
  16200      8.49e-01    6.87e-01      2.21e-02    5.50e-02      1.86e-01    2.73e-01      1.71e-01    1.26e-01    2.5e-07
  16300      1.17e+00    7.15e-01      2.45e-01    1.17e-01      4.11e-01    2.55e-01      1.62e-01    9.59e-02    2.4e-07
  16400      6.83e-01    1.13e+00      1.13e-02    3.55e-01      1.58e-01    2.97e-02      1.23e-01    1.84e-01    2.3e-07
  16500      9.23e-01    9.69e-01      1.04e-01    4.68e-02      2.42e-01    2.79e-01      1.39e-01    2.14e-01    2.2e-07
  16600      8.36e-01    6.79e-01      7.19e-02    1.15e-01      3.44e-01    2.43e-01      1.16e-01    8.56e-02    2.1e-07
  16700      7.96e-01    8.66e-01      4.55e-02    6.43e-03      2.32e-01    4.66e-01      1.40e-01    9.49e-02    2.0e-07
  16800      7.57e-01    1.13e+00      4.78e-02    3.45e-01      3.53e-01    7.77e-02      9.83e-02    1.98e-01    1.9e-07
  16900      8.31e-01    7.01e-01      5.56e-03    5.31e-02      1.77e-01    2.49e-01      1.43e-01    1.40e-01    1.8e-07
  17000      8.57e-01    8.62e-01      7.32e-02    6.04e-03      3.57e-01    4.66e-01      1.13e-01    9.48e-02    1.7e-07
  17100      6.31e-01    1.14e+00      1.00e-01    3.50e-01      2.11e-01    6.24e-02      1.00e-01    1.96e-01    1.6e-07
  17200      6.80e-01    6.88e-01      2.61e-02    1.12e-01      1.94e-01    2.44e-01      1.33e-01    9.51e-02    1.5e-07
  17300      9.81e-01    3.69e-01      1.03e-01    6.20e-02      2.30e-01    1.18e-01      1.53e-01    9.71e-02    1.5e-07
  17400      1.12e+00    9.89e-01      2.61e-01    6.00e-03      3.14e-01    1.82e-01      1.52e-01    1.74e-01    1.4e-07
  17500      8.89e-01    3.64e-01      7.05e-02    5.80e-02      1.84e-01    7.48e-02      1.61e-01    1.08e-01    1.3e-07
  17600      7.64e-01    1.08e+00      1.08e-02    3.37e-01      1.64e-01    6.26e-02      1.38e-01    1.80e-01    1.3e-07
  17700      8.53e-01    9.91e-01      6.95e-02    5.56e-03      3.44e-01    1.66e-01      1.23e-01    1.75e-01    1.2e-07
  17800      7.71e-01    7.20e-01      9.89e-03    4.40e-02      3.27e-01    3.95e-01      1.09e-01    9.93e-02    1.1e-07
  17900      7.41e-01    8.02e-01      4.81e-02    3.99e-03      1.91e-01    1.70e-01      1.27e-01    1.39e-01    1.1e-07
  18000      7.56e-01    1.11e+00      2.32e-02    3.48e-01      2.05e-01    4.49e-02      1.52e-01    1.78e-01    1.0e-07
  18100      7.61e-01    3.48e-01      1.06e-02    4.47e-02      2.88e-01    3.90e-02      1.13e-01    1.13e-01    9.7e-08
  18200      5.89e-01    4.78e-01      8.19e-02    4.41e-02      2.35e-01    1.97e-01      9.83e-02    1.28e-01    9.2e-08
  18300      8.07e-01    7.16e-01      4.47e-02    4.28e-02      2.13e-01    3.95e-01      1.45e-01    9.93e-02    8.8e-08
  18400      6.95e-01    2.76e+00      6.42e-02    8.49e-01      2.00e-01    6.71e-01      1.10e-01    3.41e-01    8.3e-08
  18500      5.70e-01    3.89e-01      1.84e-02    5.45e-02      1.85e-01    8.92e-02      1.09e-01    1.18e-01    7.9e-08
  18600      7.37e-01    7.74e-01      1.10e-02    1.26e-01      2.17e-01    2.76e-01      1.22e-01    1.08e-01    7.5e-08
  18700      7.03e-01    1.14e+00      7.17e-02    3.38e-01      2.97e-01    3.31e-02      1.10e-01    2.20e-01    7.2e-08
  18800      5.17e-01    7.86e-01      5.26e-02    4.22e-03      2.20e-01    1.94e-01      9.97e-02    1.34e-01    6.8e-08
  18900      7.72e-01    5.83e-01      8.00e-02    4.50e-02      3.02e-01    3.38e-01      1.36e-01    1.05e-01    6.5e-08
  19000      5.61e-01    4.08e-01      2.12e-02    4.49e-02      1.33e-01    1.76e-01      1.14e-01    1.04e-01    6.1e-08
  19100      9.31e-01    6.79e-01      2.99e-02    3.16e-03      1.93e-01    1.53e-01      1.57e-01    1.17e-01    5.8e-08
  19200      1.26e+00    3.50e-01      2.36e-01    5.60e-02      3.65e-01    4.24e-02      2.02e-01    1.08e-01    5.5e-08
  19300      8.28e-01    6.46e-01      1.34e-01    4.07e-03      2.08e-01    1.54e-01      1.51e-01    1.11e-01    5.3e-08
  19400      6.74e-01    3.40e-01      1.54e-01    5.30e-02      1.61e-01    1.24e-01      1.02e-01    8.77e-02    5.0e-08
  19500      9.82e-01    5.85e-01      1.43e-01    4.32e-03      2.91e-01    1.54e-01      1.57e-01    9.88e-02    4.8e-08
  19600      6.88e-01    9.86e-01      1.20e-01    6.01e-03      2.31e-01    1.96e-01      9.20e-02    1.72e-01    4.5e-08
  19700      8.32e-01    7.42e-01      2.89e-02    4.82e-02      1.78e-01    2.51e-01      1.43e-01    1.55e-01    4.3e-08
  19800      5.43e-01    7.57e-01      1.98e-02    4.65e-03      2.33e-01    1.81e-01      9.07e-02    1.30e-01    3.9e-08
  19900      1.14e+00    8.44e-01      2.53e-01    6.04e-03      3.52e-01    4.66e-01      1.80e-01    9.45e-02    3.7e-08
  20000      7.06e-01    6.15e-01      1.05e-01    1.15e-01      2.37e-01    2.00e-01      1.19e-01    7.27e-02    3.5e-08
